1,Лебедев Агата,57,72972
2,Долгов Андрей,46,85328
3,Попов Полина,72,90742
5,Серова Роберт,48,84819
10,Дмитриев Александр,76,59855
14,Терентьев Виктор,54,85212
16,Дроздова Полина,64,80856
17,Лазарев Вероника,42,97589
19,Орлова Кирилл,61,95111
20,Антонов Михаил,58,97140
25,Ларионова Григорий,69,95267
34,Терехов Степан,44,88190
39,Попов Анастасия,66,60722
42,Прокофьев Святослав,48,73819
45,Петрова Игорь,53,80314
47,Зайцева Егор,41,88423
48,Гаврилов Мария,72,58263
49,Степанов Андрей,69,91882
59,Ларионова Элина,55,85013
